ID,Area,Brief_Requirement,Portal_Location_Path,How_To_Test,Dev_Status,Dev_Tested_Yes_No,Dev_Tester_Name,Dev_Test_Date,Dev_Notes,Client_Tested_Yes_No,Client_Tester_Name,Client_Test_Date,Client_Pass_Fail,Client_Notes
SEC-01,Security & access,"Customers are not Microsoft/Entra users; login via email invite + OTP",/login then /customer,Request invite / OTP for a Permissions Active email; confirm no Entra guest needed,Done,,,,,,,
SEC-02,Security & access,Customer only sees their own company data (ABE-style hide),/customer/*,Log in as Company A TM; confirm Company B workforce/matrix/docs never appear,Done,,,,,,,
SEC-03,Security & access,Company is taken from Permissions list — not chosen by the customer URL,All customer APIs,Attempt URL tricks; still only Permissions company data,Done,,,,,,,
SEC-04,Security & access,"Training Manager = full company (when Access scope is Full Company)",/customer/candidates + /customer,TM with Full Company sees all company candidates on Candidates + Matrix,Done,,,,,,,
SEC-05,Security & access,"Supervisor = department / restricted view only",/customer/candidates + /customer,Supervisor only sees allowed departments / assigned candidates,Done,,,,,,,
SEC-06,Security & access,Candidate role = own records only,/customer/candidates + profile,Candidate login sees only their own row/profile,Done,,,,,,,
SEC-07,Security & access,"Customers cannot edit workforce; registers; matrix; documents",Customer forms,No Edit/Save on lists; only Support message and downloads where allowed,Done,,,,,,,
SEC-08,Security & access,"Download certs/card scans allowed when canDownload; no edit",/customer/documents,Download a card scan/cert; confirm cannot upload/edit/delete,Done,,,,,,,
SEC-09,Security & access,"Remove TM/Supervisor access easily without deleting history (admin)",/admin/permissions,Set Status Inactive or Delete Permissions; customer can no longer log in,Done,,,,,,,
SEC-10,Security & access,"Permissions list is the role directory (no SharePoint groups for customers)",/admin/permissions,Confirm access driven by Permissions row Active + Role + Company,Done,,,,,,,
AUTH-01,Login & invite,When added to Permissions they get one invite email,/admin/permissions create,Create Active permission; invite email arrives; OTP works,Done,,,,,,,
AUTH-02,Login & invite,Inactive permission cannot access portal,/login,Set Inactive; login denied / access denied,Done,,,,,,,
NAV-01,Portal navigation,Training Matrix is the first / home screen,/customer,After login land on Training Matrix,Done,,,,,,,
NAV-02,Portal navigation,Dashboard overview,/customer/dashboard,Open Dashboard; counts/expiries/company profile visible,Done,,,,,,,
NAV-03,Portal navigation,Training Delivery / brochures area,/customer/courses,Open Training Delivery; course catalogue + brochure/docs tabs,Done,,,,,,,
NAV-04,Portal navigation,Candidates (workforce) list,/customer/candidates,List loads for company,Done,,,,,,,
NAV-05,Portal navigation,"Training Records: NPORS / EUSR / Streetworks / In-House",/customer/training-records,Landing + four register pages open with company data only,Done,,,,,,,
NAV-06,Portal navigation,NVQ Progress,/customer/nvq-progress,Customer-visible NVQ fields only,Done,,,,,,,
NAV-07,Portal navigation,Documents,/customer/documents,Company documents list; downloadable where permitted,Done,,,,,,,
NAV-08,Portal navigation,Events / Bookings for their company only,/customer/events,Only company events; no full admin diary,Done,,,,,,,
NAV-09,Portal navigation,Offers / promotions,/customer/offers,Active customer-visible offers show,Done,,,,,,,
NAV-10,Portal navigation,Support,/customer/support,Support form / contact available,Done,,,,,,,
WF-01,Workforce / Candidates,"New workforce candidate appears on Candidates list for that company",/customer/candidates,"Admin creates candidate for Company X; TM of Company X sees them on Candidates",Done,,,,,,,
WF-02,Workforce / Candidates,"Same candidate appears on Training Matrix for that company",/customer,"After create/import; row visible on matrix for Company X TM",Done,,,,,,,
WF-03,Workforce / Candidates,"Candidates columns: name; DOB; TM; supervisor; department; card numbers/expiries",/customer/candidates,Check CSCS/SWQR/EUSR/NPORS/In-House number + colour expiry cells,Done,,,,,,,
WF-04,Workforce / Candidates,"Click candidate opens full profile",/customer/candidates/{id},Profile shows details + training summary + registers + docs links,Done,,,,,,,
WF-05,Workforce / Candidates,"Company logo / branding where set",/customer/dashboard,Company with logo shows on dashboard card,Done,,,,,,,
MX-01,Training Matrix,"Dynamic search by candidate name",/customer,Search filters matrix rows,Done,,,,,,,
MX-02,Training Matrix,"Filter expiring within 3 months / 6 months / 6–9+ months",/customer,Use expiry filters; colour badges red/amber/green,Done,,,,,,,
MX-03,Training Matrix,"Colour coding: ~3m red; 3–6m amber; 6–9+ green",/customer,Check legend wording and badge colours on sample dates,Done,,,,,,,
MX-04,Training Matrix,"Records to Review (Missing Data) filter",/customer?filter=review,Candidates missing expiry/review surface under Records to Review,Done,,,,,,,
MX-05,Training Matrix,"DOB shown to tell same-name candidates apart",/customer + Candidates,DOB under name where recorded,Done,,,,,,,
MX-06,Training Matrix,"Matrix pulls / shows training & expiry from registers where available",/customer,Candidate with NPORS/EUSR/etc. shows related expiries on matrix,Done,,,,,,,
REG-01,Training registers,"Named NPORS Training; EUSR Training; Streetworks Training; In-House Training",/customer/training-records,Labels match; no “NRSWA” wording for customers,Done,,,,,,,
REG-02,Training registers,"Pass / Fail shown on training records",Register tables,Outcome Pass/Fail column and filter,Done,,,,,,,
REG-03,Training registers,"NPORS customer fields: name; number; date; address; Novice/EWT; category; Pass/Fail",/customer/training-records/npors,Columns present; admin-only fields hidden,Done,,,,,,,
REG-04,Training registers,"EUSR customer fields: name; number; category; date; address; Pass/Fail (+ card type/expiry if present)",/customer/training-records/eusr,Columns present,Done,,,,,,,
REG-05,Training registers,"Streetworks: name; SWQR; date; address; Course; categories; Pass/Fail",/customer/training-records/streetworks,Columns present,Done,,,,,,,
REG-06,Training registers,"In-House: name; date; address; expiry; course; Pass/Fail",/customer/training-records/in-house,Columns present,Done,,,,,,,
REG-07,Training registers,"Only CustomerVisible = yes register rows show",Admin toggle then customer view,Hidden admin-only / CustomerVisible=false rows do not appear,Done,,,,,,,
REG-08,Training registers,"New register result for a company candidate appears on customer portal",Registers + Matrix,Admin adds Pass training for Company X candidate; TM sees it,Done,,,,,,,
NVQ-01,NVQ Progress,"Customer NVQ progress view (registration; induction; stage; notes; dates)",/customer/nvq-progress,Customer fields visible; internal admin notes hidden,Done,,,,,,,
NVQ-02,NVQ Progress,Only CustomerVisible NVQ rows,/customer/nvq-progress,Toggle CustomerVisible off; disappears for customer,Done,,,,,,,
DOC-01,Documents,"Company/candidate folders; Card Scans & Certificates downloadable",/customer/documents,Find card scan/cert; download works,Done,,,,,,,
DOC-02,Documents,"Intro explains NVQ certs & card scans are downloadable; not editable",/customer/documents,Read page subtitle/intro,Done,,,,,,,
DOC-03,Documents,"Email notification to connected TM when admin uploads document",Email inbox,Upload cert to candidate folder; TM(s) for company get email (if notifications enabled),Done,,,,,,,
EVT-01,Events / Calendar,"Customers only see bookings/events for their company",/customer/events,Company A event visible; other companies not visible,Done,,,,,,,
EVT-02,Events / Calendar,"Customer-visible vs internal-only events",/customer/events,Internal-only event hidden from customer,Done,,,,,,,
EVT-03,Events / Calendar,"Outlook linked for ops calendar (admin → Outlook); full two-way deferred",Admin events,Admin sync path exists; note two-way Outlook as future if client asks,Partial,,,,,,,
OFF-01,Offers,Offers/promotions section for customers,/customer/offers,Active visible offers listed,Done,,,,,,,
CRS-01,Training Delivery,"Brochure / course browse for NPORS EUSR Streetworks NVQ",/customer/courses,Training Delivery page + resource docs,Done,,,,,,,
BULK-01,Admin only — Bulk upload,"Bulk import up to ~100 candidates for a new customer",/admin/bulk-upload,Preview + commit Workforce spreadsheet; validate duplicates,Done,,,,,,,
BULK-02,Admin only — Bulk upload,"After bulk import; candidates appear on THAT company’s customer Candidates + Matrix",/customer as that company TM,"Create Company X workers via bulk; login as Company X TM; verify Candidates + Matrix",Done,,,,,,,
BULK-03,Admin only — Bulk upload,Customers cannot bulk upload,Customer nav,No bulk upload menu for customers,Done,,,,,,,
ADM-01,Admin Hub (support for portal),"Company list + company folder in Customer Documents",/admin/companies,Create company; folder structure exists,Done,,,,,,,
ADM-02,Admin Hub,"Workforce auto numbers; company lookup; TM/Supervisor lookups",/admin/workforce,Create candidate; fields save; linked to company,Done,,,,,,,
ADM-03,Admin Hub,"Permissions Active/Inactive; roles TM/Supervisor/Candidate",/admin/permissions,Add/remove access,Done,,,,,,,
ADM-04,Admin Hub,"Training matrix admin + colour/expiry model",/admin/training-matrix,Admin can manage matrix; customer consumes filtered view,Done,,,,,,,
NTF-01,Notifications,"Document upload notifications to relevant customer users",Email,Upload triggers notify for company TMs when enabled,Done,,,,,,,
