"ListTitle","ListId","FieldTitle","InternalName","StaticName","TypeDisplayName","TypeAsString","FieldTypeKind","Required","Hidden","ReadOnlyField","Indexed","Group","Choices","LookupList","LookupField","DefaultValue","Description"
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Content Type ID","ContentTypeId","ContentTypeId","Content Type Id","ContentTypeId","ContentTypeId","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Approver Comments","_ModerationComments","_ModerationComments","Multiple lines of text","Note","Note","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Name","FileLeafRef","FileLeafRef","File","File","File","True","False","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Document Modified By","Modified_x0020_By","Modified_x0020_By","Single line of text","Text","Text","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Document Created By","Created_x0020_By","Created_x0020_By","Single line of text","Text","Text","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","File Type","File_x0020_Type","File_x0020_Type","Single line of text","Text","Text","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","HTML File Type","HTML_x0020_File_x0020_Type","HTML_x0020_File_x0020_Type","Single line of text","Text","Text","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Source URL","_SourceUrl","_SourceUrl","Single line of text","Text","Text","False","True","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Shared File Index","_SharedFileIndex","_SharedFileIndex","Single line of text","Text","Text","False","True","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Color","_ColorHex","_ColorHex","Single line of text","Text","Text","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Color Tag","_ColorTag","_ColorTag","Single line of text","Text","Text","False","False","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Emoji","_Emoji","_Emoji","Single line of text","Text","Text","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Media Generated Metadata","MediaGeneratedMetadata","MediaGeneratedMetadata","Multiple lines of text","Note","Note","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Media User Metadata","MediaUserMetadata","MediaUserMetadata","Multiple lines of text","Note","Note","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Media file metadata","ExtractedMetadataComputed","ExtractedMetadataComputed","Computed","Computed","Computed","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Compliance Asset Id","ComplianceAssetId","ComplianceAssetId","Single line of text","Text","Text","False","False","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Title","Title","Title","Single line of text","Text","Text","False","False","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Template Link","TemplateUrl","TemplateUrl","Single line of text","Text","Text","False","True","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","HTML File Link","xd_ProgID","xd_ProgID","Single line of text","Text","Text","False","True","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Is Signed","xd_Signature","xd_Signature","Yes/No","Boolean","Boolean","False","True","True","False","_Hidden","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Effective Sensitivity","_EffectiveIpLabelDisplayName","_EffectiveIpLabelDisplayName","Computed","Computed","Computed","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Shortcut URL","_ShortcutUrl","_ShortcutUrl","Hyperlink or Picture","URL","URL","False","True","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Shortcut Site Id","_ShortcutSiteId","_ShortcutSiteId","Guid","Guid","Guid","False","True","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Shortcut Web Id","_ShortcutWebId","_ShortcutWebId","Guid","Guid","Guid","False","True","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Shortcut Unique Id","_ShortcutUniqueId","_ShortcutUniqueId","Guid","Guid","Guid","False","True","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Description","_ExtendedDescription","_ExtendedDescription","Multiple lines of text","Note","Note","False","False","False","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Trigger Flow Info","TriggerFlowInfo","TriggerFlowInfo","Single line of text","Text","Text","False","True","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","MediaServiceMetadata","MediaServiceMetadata","MediaServiceMetadata","Multiple lines of text","Note","Note","False","True","True","False","_Hidden","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","MediaServiceFastMetadata","MediaServiceFastMetadata","MediaServiceFastMetadata","Multiple lines of text","Note","Note","False","True","True","False","_Hidden","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","MediaServiceSearchProperties","MediaServiceSearchProperties","MediaServiceSearchProperties","Multiple lines of text","Note","Note","False","True","True","False","_Hidden","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","ID","ID","ID","Counter","Counter","Counter","False","False","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Content Type","ContentType","ContentType","Computed","Computed","Computed","False","False","False","False","_Hidden","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Created","Created","Created","Date and Time","DateTime","DateTime","False","False","True","False","Custom Columns","",,,,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Created By","Author","Author","Person or Group","User","User","False","False","True","False","Custom Columns","","{05970f80-1382-466a-ab40-156b3e727c70}","",,""
"Admin Documents","9de03526-7b4f-4863-a6e7-1bdf1331bea0","Modified","Modified","Modified","Date and Time","DateTime","DateTime","False","False","True","False","Custom Columns","",,,,""
