Display Name,Internal Name,Type,Notes
"CSCS Expiry",CSCSExpiry,Date and Time (Date Only),"Not on Training Matrix list yet"
"SSSTS Expiry",SSSTSExpiry,Date and Time (Date Only),"Not on Training Matrix list yet"
"SMSTS Expiry",SMSTSExpiry,Date and Time (Date Only),"Not on Training Matrix list yet"
"NRSWA Expiry",NRSWAExpiry,Date and Time (Date Only),"Not on Training Matrix list yet"
"EUSR Expiry",EUSRExpiry,Date and Time (Date Only),"Not on Training Matrix list yet"
"N006 - Side Loader",N006Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N009 - Rough Terrain Lift Truck",N009Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N135 - Multi Di Lift Truck",N135Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N108 - MEWP Boom",N108Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N109 - MEWP Scissor",N109Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N111 - Hoist",N111Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N119 - Mast Climber",N119Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N706 - Mobile Towers",N706Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N014 - Marine Knuckle Boom Crane",N014Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N019 - Report of  Thorough Exam",N019Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N039 - Plant Inspector – Thorough Exam",N039Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N046 - Rigging Planner",N046Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N047 - Rigging",N047Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N101 - Mobile Crane",N101Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N102 - Tower Crane",N102Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N103 - Crawler Crane",N103Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N104 - Overhead Crane",N104Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N105 - Quay Crane",N105Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N106 - Log Handler",N106Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N107 - Lorry Loader",N107Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N114 - Overhead Container Gantry Crane",N114Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N115 - Remote Control Tower Crane",N115Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N138 - Tele Suspended Loads",N138Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N140 - Compact Crane",N140Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N242 - Side Boom",N242Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N401 - Appointed Person",N401Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N402 - Slinger / Signaller",N402Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N405 - Crane / Lift Supervisor",N405Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N722 - Materials Re-Handler",N722Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N016 - Micro Excavator 360° up to 1 Tonne",N016Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N030 - Machine Control Systems",N030Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N116 - Dragline",N116Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
"N139 - Forward Tipping Mini Dumper up to 1 Tonne",N139Expiry,Date and Time (Date Only),"Stored in Category Records until this column is added"
